argument	RaspberryPi3B|Raspbian	RaspberryPi3B|Ubuntu	ODROID-XU3	ZYBO
10	5421	5548	3305	18082
100	161	164	57	216
1000	1398	1154	458	1641
10000	12142	11325	4336	15726
100000	114780	113278	43753	155705
1000000	1142910	1135595	435697	1552726
10000000	11220737	11142076	4237469	15218912
100000000	118057299	119972702	45950966	163216193
