argument,RaspberryPi3B|Raspbian,RaspberryPi3B|Ubuntu,ODROID-XU3,ZYBO
10,7,6,3,10
100,49,49,22,79
200,107,111,55,208
500,371,387,170,759
1000,672,733,411,1172
2000,1786,2117,1651,4025
5000,11441,12495,10811,24414
10000,32030,36817,51770,69915
20000,163749,185122,218165,422695
50000,1076627,1223103,1470555,2957221
100000,2428508,2815900,3824927,
